Country,Crime_Index
Canada,63.1
United States,62.3
United States,105.1
Afghanistan,79.8
 Albania,42.3
 Algeria,52.6
 Argentina,199.7
 Armenia,21.9
 Australia,874.8
 Austria,53.2
 Azerbaijan,30.5
Canada,50.9
 Bangladesh,63.2
 Belarus,57.7
 Belgium,181.5
 Bosnia And Herzegovina,80.3
 Brazil,831.1
 Bulgaria,78.6
United States,379.9
United States,45.3
 Cambodia,55.4
 Canada,1534.2
 Chile,61.2
 China,120.2
 Colombia,191.4
 Costa Rica,55.7
 Croatia,79.9
 Cuba,32
 Cyprus,63.7
 Czech Republic,50.8
United States,60.1
 Denmark,51.3
 Dominican Republic,67.2
 Ecuador,177.7
 Egypt,94.5
 El Salvador,66.2
 Estonia,45.7
 Ethiopia,49.3
United States,207.5
 Finland,82.2
 France,654.4
United States,63.5
 Georgia,25.9
 Germany,559
 Greece,109.4
 Guatemala,63.8
United States,47.3
 Honduras,80.5
 Hong Kong (China),21.5
 Hungary,34.8
United States,35.7
United States,66.1
United States,58.9
 Iceland,23.8
 India,952
 Indonesia,100.9
 Iran,55.9
 Iraq,58.9
 Ireland,210.6
 Israel,63.8
 Italy,568.6
 Jamaica,70.9
 Japan,57.7
 Jordan,38.8
United States,57.3
 Kazakhstan,97.2
 Kenya,59.3
 Kuwait,30.4
United States,67.6
 Latvia,38.5
 Lebanon,46.3
 Libya,62.5
 Lithuania,65.9
 Luxembourg,28.7
United States,39.4
United States,75.5
United States,74.1
United States,55.3
United States,128.7
 Malaysia,260.2
 Maldives,62.6
 Mexico,518.1
 Moldova,43.9
 Mongolia,54.6
 Morocco,90
United States,85
United States,71.5
United States,55.2
United States,94.1
 Namibia,68.6
 Nepal,37
 Netherlands,131
 New Zealand,174.6
 Nigeria,67.5
 North Macedonia,46.9
 Norway,147
United States,159.3
United States,54.6
 Oman,20.1
United States,103.4
 Pakistan,172
 Panama,47.7
 Papua New Guinea,80.7
 Paraguay,51.6
 Peru,70.9
 Philippines,288.4
 Poland,178
 Portugal,119.4
 Puerto Rico,68.4
 Qatar,14.5
 Romania,228.5
 Russia,199.3
 Saudi Arabia,54.9
 Serbia,78.8
 Singapore,29.2
 Slovakia,30.6
 Slovenia,21.8
 South Africa,394.2
 South Korea,24.7
 Spain,270.8
 Sri Lanka,41.6
 Sweden,181.9
 Switzerland,113.5
 Syria,70
United States,74.8
United States,204.6
 Taiwan,15.1
 Thailand,110.5
 Trinidad And Tobago,76.2
 Tunisia,47.8
 Turkey,192.7
United States,33.7
 Ukraine,238.6
 United Arab Emirates,59
 United Kingdom,800
 Uruguay,55.8
 Venezuela,83.6
 Vietnam,90.1
United States,52.8
United States,101.5
 Zimbabwe,60.6
